"HDR","FEC","8.5","CAMPAIGN MANAGER 360","1.0","","",""
"F3XN","C00857649","AMERICAN BATTLEGROUND FUND","","PO BOX 30844","","BETHESDA","MD","208240844","Q2","P2026","","","20260401","20260630","","MARTIN","STEVE","","","","20260715","112133.00","211000.00","323133.00","250877.33","72255.67","0.00","0.00","211000.00","0.00","211000.00","0.00","0.00","211000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","211000.00","211000.00","0.00","0.00","27889.90","27889.90","222987.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","250877.33","250877.33","211000.00","0.00","211000.00","27889.90","0.00","27889.90","231028.95","2026","506300.00","737328.95","665073.28","72255.67","506300.00","0.00","506300.00","0.00","0.00","506300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","506300.00","506300.00","0.00","0.00","38559.72","38559.72","553360.11","73153.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","665073.28","665073.28","506300.00","0.00","506300.00","38559.72","0.00","38559.72",""
"TEXT","C00857649","1","","F3XN","PLEASE NOTE: THE COMMITTEE HAS DEMONSTRATED THE NECESSARY STEPS TO ESTABLISH BEST EFFORTS TO OBTAIN AND DISCLOSE THE FULL IDENTIFICATION OF ALL INDIVIDUALS WHO CONTRIBUTE IN EXCESS OF $200 IN A CALENDAR YEAR. THESE EFFORTS INCLUDE A CLEAR REQUEST WITH THE ORIGINAL SOLICITATION, FOLLOWED BY A REQUEST FOR MISSING INFORMATION LETTER WITHIN 30 DAYS, WHICH CLEARLY ASKS FOR THE MISSING INFORMATION WITHOUT SOLICITING A CONTRIBUTION. IN ADDITION, THE LETTER READS: FEDERAL LAW REQUIRES US TO MAKE OUR BEST EFFORTS TO COLLECT AND REPORT THE NAME, MAILING ADDRESS, OCCUPATION AND NAME OF EMPLOYER OF ALL INDIVIDUALS WHO CONTRIBUTE IN EXCESS OF $200 IN A CALENDAR YEAR. WE THEN ENCLOSE A SELF-ADDRESSED ENVELOPE AND INCLUDE A TELEPHONE NUMBER TO REACH THE COMMITTEE WITH ANY QUESTIONS. A SECOND REQUEST FOR MISSING INFORMATION LETTER IS SENT IF WE DO NOT RECEIVE THE INFORMATION IN A TIMELY MANNER. IN THE EVENT THAT WE RECEIVE ADDITIONAL INFORMATION FROM CONTRIBUTORS WHOSE INFORMATION WAS NOT ORIGINALLY DISCLOSED, WE WILL AMEND THE APPROPRIATE REPORT TO REFLECT THE ADDITIONAL DISCLOSURES PROPERLY."
"SA11AI","C00857649","A64EAA9A3576340B18D1","","","IND","","CONNELL","DIANE","","","","PO BOX 2447","","HARKER HEIGHTS","TX","765480447","","","20260602","15000.00","15000.00","","RETIRED","RETIRED","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A5192B50643984B4F827","","","ORG","DK BOYD LAND & CATTLE CO","","","","","","PO BOX 11351","","MIDLAND","TX","797028351","","","20260602","42000.00","49000.00","VERIFIED NON-CORPORATE SEE MEMO ITEMS","","","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A1D4D57B778E54EA1A98","","","IND","","BOYD","T.","J.","","","3317 ANDREWS HWY","","MIDLAND","TX","797035148","","","20260602","21000.00","24500.00","","RANCHER","SELF EMPLOYED","","","","","","","","","","","","","","","","","","X","","",""
"SA11AI","C00857649","A6C87699EB4E047A09CB","","","IND","","BOYD","D.","K.","","","PO BOX 11351","","MIDLAND","TX","797028351","","","20260602","21000.00","24500.00","","SELF-EMPLOYED","RANCHER","","","","","","","","","","","","","","","","","","X","","",""
"SA11AI","C00857649","A57AC45D8B2EC4D108B9","","","ORG","DK BOYD LAND & CATTLE CO","","","","","","PO BOX 11351","","MIDLAND","TX","797028351","","","20260602","7000.00","49000.00","VERIFIED NON-CORPORATE SEE MEMO ITEMS","","","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A792C1008BA3A44FBB49","","","IND","","BOYD","T.","J.","","","3317 ANDREWS HWY","","MIDLAND","TX","797035148","","","20260602","3500.00","24500.00","","RANCHER","SELF EMPLOYED","","","","","","","","","","","","","","","","","","X","","",""
"SA11AI","C00857649","A91EAA9516A844D148F9","","","IND","","BOYD","D.","K.","","","PO BOX 11351","","MIDLAND","TX","797028351","","","20260602","3500.00","24500.00","","SELF-EMPLOYED","RANCHER","","","","","","","","","","","","","","","","","","X","","",""
"SA11AI","C00857649","ADF6C3464B6974238A60","","","IND","","MASSEY","JON","G","","","PO BOX 10","","FOLSOM","LA","704370010","","","20260608","50500.00","50500.00","","ATTORNEY","SELF EMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A30CCCF2D4F2647C0978","","","IND","","MITCHELL","NOAH","MALONE","","III","4321 SAINT JOHNS DR","","DALLAS","TX","752054334","","","20260428","35500.00","35500.00","","TRANSATLANTIC PETROLEUM LLC","CEO","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A2B14622DCA9D42B6A13","","","IND","","SCHARBAUER","DOUGLAS","","","","2411 STUTZ PL","","MIDLAND","TX","797054931","","","20260602","25000.00","25000.00","","SELF EMPLOYED","INVESTOR","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00857649","A26F755A2C1074552A07","","","IND","","WISNIEWSKI","SCOTT","A","","","5733 MAJESTIC CT","","SAN ANGELO","TX","769041903","","","20260428","36000.00","36000.00","","OWNER","WESTERN SHAMROCK CORP","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B15D250230CDD47F387A","","","ORG","ARISTOTLE INTERNATIONAL, INC.","","","","","","205 PENNSYLVANIA AVENUE SE","","WASHINGTON","DC","200031164","","","20260529","772.50","","SOFTWARE","001","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BE28555520B674FCAA39","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260407","-15000.00","","VOID FUNDRAISING CONSULTING FROM 12/31/2025 LOST CHECK REISSUED 4/13/2026","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B28C57062E62541CC8E9","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260413","16000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B5980E40C133B42E9B1C","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260423","1000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BB20EF288553D461E98C","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260429","-2000.00","","VOID: FUNDRAISING CONSULTING FROM 1/26/2026 LOST CHECK REISSUED 5/4/2026","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BACE9AEEA8FB74B8783E","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260504","2000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BE182B381A6264B58A42","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260520","1000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BE5DDEFC816CC402B97E","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260601","-1000.00","","VOID FUNDRAISING CONSULTING FROM 2/26/2026 LOST CHECK REISSUED 6/5/2026","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B67439B799BCD4A1DA94","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260605","1000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B8A914FF4B13A4BC8A4A","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260624","1000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BF7F9717BD4EF4EABB53","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260624","-1000.00","","VOID FUNDRAISING CONSULTING FROM 6/5/2026 LOST CHECK REISSUED 6/24","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B75186E36B5314E84B8C","","","IND","","BRENNAN","CAROLINE","","","","4960 RUSTIC TRL","","MIDLAND","TX","797071426","","","20260624","1000.00","","FUNDRAISING CONSULTING","003","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","BE5416DD7752A4277A12","","","ORG","CFS COMPLIANCE","","","","","","PO BOX 30844","","BETHESDA","MD","20824","","","20260402","14883.00","","COMPLIANCE CONSULTING","001","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B3FF382E912EE46F8AEE","","","ORG","CFS COMPLIANCE","","","","","","PO BOX 30844","","BETHESDA","MD","20824","","","20260508","366.83","","COMPLIANCE CONSULTING","001","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00857649","B1B8C3E145FE34F23942","","","ORG","CFS COMPLIANCE","","","","","","PO BOX 30844","","BETHESDA","MD","20824","","","20260625","7797.64","","COMPLIANCE CONSULTING","001","","","","","","","","","","","","","","","","","","","","",""
"SB22","C00857649","BF322D78DE9E0421BB65","","","CCM","ALASKANS FOR NICK BEGICH","","","","","","PO BOX 671710","","CHUGIAK","AK","995671710","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00792341","ALASKANS FOR NICK BEGICH","H2AK01083","BEGICH","NICHOLAS","III","","","H","AK","00","","","","","","","","","",""
"SB22","C00857649","BE2A781803705455DB39","","","CCM","ANNA PAULINA LUNA FOR CONGRESS","","","","","","1201 GANDY BLVD N","P.O. BOX 23064","SAINT PETERSBURG","FL","337022409","","","20260608","8542.81","","TRANSFER OF NET PROCEEDS","008","C00718239","ANNA PAULINA LUNA FOR CONGRESS","H0FL13158","PAULINA LUNA","ANNA","","","","H","FL","13","","","","","","","","","",""
"SB22","C00857649","BFA259D00ACC943AB9A0","","","CCM","AUGUST PFLUGER FOR CONGRESS","","","","","","PO BOX 3530","","SAN ANGELO","TX","76902","","","20260617","16611.01","","TRANSFER OF JOINT FUNDRAISING PROCEEDS","008","C00719294","AUGUST PFLUGER FOR CONGRESS","H0TX11230","PFLUGER","AUGUST","LEE","","","H","TX","11","","","","","","","","","",""
"SB22","C00857649","BCBD8DB466BC34469B10","","","CCM","CHUCK EDWARDS FOR CONGRESS","","","","","","337 N MAIN ST","","HENDERSONVILLE","NC","287924902","","","20260608","3322.20","","TRANSFER OF NET PROCEEDS","008","C00796433","CHUCK EDWARDS FOR CONGRESS","H2NC14050","EDWARDS","CHUCK","","","","H","NC","11","","","","","","","","","",""
"SB22","C00857649","B7999A001BBDC4E539BD","","","CCM","CISCOMANI FOR CONGRESS","","","","","","PO BOX 35103","","TUCSON","AZ","857405103","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00786194","CISCOMANI FOR CONGRESS","H2AZ02360","CISCOMANI","JUAN","","","","H","AZ","06","","","","","","","","","",""
"SB22","C00857649","B76A1E6AAB12545CF9FC","","","PAC","CONSERVATIVES FOR AMERICA PAC","","","","","","PO BOX 30844","","BETHESDA","MD","208240844","","","20260617","4746.00","","TRANSFER OF JOINT FUNDRAISING PROCEEDS","008","C00893263","CONSERVATIVES FOR AMERICA PAC","","","","","","","","","","","","","","","","","","",""
"SB22","C00857649","B1718FB943F254CC8B42","","","CCM","ELECTGABEEVANS.COM","","","","","","PO BOX 350608","","WESTMINSTER","CO","800350608","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00849844","ELECTGABEEVANS.COM","H4CO08034","EVANS","TIMOTHY GABRIEL","JOSEPH","","","H","CO","08","","","","","","","","","",""
"SB22","C00857649","B846BDF7604CA4685AC2","","","CCM","FINSTAD FOR CONGRESS","","","","","","PO BOX 923","","NEW ULM","MN","560730923","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00807743","FINSTAD FOR CONGRESS","H2MN01223","FINSTAD","BRAD","","","","H","MN","01","","","","","","","","","",""
"SB22","C00857649","B713DAED06E794AB4A6D","","","CCM","GARBARINO FOR CONGRESS","","","","","","PO BOX 101","","BAYPORT","NY","11705","","","20260608","8542.81","","TRANSFER OF NET PROCEEDS","008","C00729954","GARBARINO FOR CONGRESS","H0NY02234","GARBARINO","ANDREW","","","","H","NY","02","","","","","","","","","",""
"SB22","C00857649","BEB0E2539FCD44E47B53","","","PAC","HOUSE CONSERVATIVES FUND","","","","","","PO BOX 30844","","BETHESDA","MD","20824","","","20260617","4746.00","","TRANSFER OF JOINT FUNDRAISING PROCEEDS","008","C00326439","HOUSE CONSERVATIVES FUND","","","","","","","","","","","","","","","","","","",""
"SB22","C00857649","B8687178B562546E6B05","","","CCM","HUIZENGA FOR CONGRESS","","","","","","PO BOX 1036","","HOLLAND","MI","49422","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00459297","HUIZENGA FOR CONGRESS","H0MI02094","HUIZENGA","WILLIAM","P","","","H","MI","04","","","","","","","","","",""
"SB22","C00857649","B882A7A736C134617896","","","CCM","IOWANS FOR ZACH NUNN","","","","","","PO BOX 8036","","DES MOINES","IA","50301","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00784389","IOWANS FOR ZACH NUNN","H2IA03119","NUNN","ZACH","","","","H","IA","03","","","","","","","","","",""
"SB22","C00857649","BF0A778049660425B91E","","","CCM","JAMES MOYLAN FOR CONGRESS","","","","","","PO BOX 10345","","TAMUNING","GU","96931","","","20260608","2847.60","","TRANSFER OF NET PROCEEDS","008","C00809343","JAMES MOYLAN FOR CONGRESS","H2GU01031","MOYLAN","JAMES","C.","","","H","GU","00","","","","","","","","","",""
"SB22","C00857649","B03286B43AA6946829AA","","","CCM","JAY OBERNOLTE FOR CONGRESS","","","","","","824 S MILLEDGE AVE STE 101","","ATHENS","GA","30605","","","20260608","2847.60","","TRANSFER OF NET PROCEEDS","008","C00720078","JAY OBERNOLTE FOR CONGRESS","","OBERNOLTE","JAY","","","","H","CA","23","","","","","","","","","",""
"SB22","C00857649","B217597D6C80A4927ACE","","","CCM","JEFF CRANK FOR CONGRESS","","","","","","9235 N UNION BLVD","STE 150","COLORADO SPRINGS","CO","809207833","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00865592","JEFF CRANK FOR CONGRESS","H6CO05142","CRANK","JEFF","","","","H","CO","05","","","","","","","","","",""
"SB22","C00857649","B740F05F724C34F17ACC","","","CCM","JEFF HURD FOR CONGRESS","","","","","","2695 PATTERSON RD","STE 2","GRAND JUNCTION","CO","815068815","","","20260608","6834.24","","TRANSFER OF NET PROCEEDS","008","C00848333","JEFF HURD FOR CONGRESS","H4CO03357","HURD","JEFFREY","","","","H","CO","03","","","","","","","","","",""
"SB22","C00857649","BF9FE1EBE77C5468F91C","","","CCM","KIGGANS FOR CONGRESS","","","","","","P.O. BOX 5042","","VIRGINIA BEACH","VA","234710042","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00776120","KIGGANS FOR CONGRESS","H2VA02064","KIGGANS","JENNIFER","","","","H","VA","02","","","","","","","","","",""
